Account,Token Account,Quantity,Percentage
Ft9pG1exPV89KKSi5LB9c25zBMs8sre7hMZ6axyMC7jW,CHDATyk8YSwgxCxBz59LCfbpmoAPNeCehH5Tnk5ykGrU,224309592.484861,22.43
3bT5AL71EB5QpLW2ztLtRSxc5cZ6ASDzSc5b3eavZeWu,8SRpEXQkDTowdAqscJpkFoCEULtUTN2f4AQcx48qFkq5,85614514.778177,8.56
A1LvsuknSKawqkWjb9ehZFXPDY3Vd4k5mW2oacddDjQu,EVEtmJw5F7BhoWU69qpPkViUXygopsZepH66sANsVQAx,55500555,5.55
GZSxU2zuhABrqNbPoAETmh2GHfqV87bJeQJBmX6YA7tU,F5cPGwCJLvNB3eD4gCrHwzCSy3ZtAkioEyJTwzKxZKtB,51715095.022751,5.17
db453GX585VJJkpK5imhLuLLXcXCxd1FicKgQ7Rm13t,GpVKatUrXmEPeJrp9dzf5zD16jDZ5GvUBVp8GHwRsmdu,43817244.379481,4.38
GddPFuV75HsmhGr1ikzgvidVUMeqmpFebbMzzbnSqVhY,Huv1qDRX7FVwjW2riEw2h7jQiCsaPxBoGvyToK6EHDKf,31350775.650792,3.14
FdZvXJNtZVnz1VR5ccV2zuNUtghrmx2c9Yma1e56XQvW,4XNh7QAczbqoJcT7RWrM39bqGWyJcvVYhM9mc4VPi8zf,23172752.803814,2.32
52N6Er9zqWAPX4hD3utyQfhrFULetzaSAT54Us8PaExo,71TuB9dEkWtW7yfhuEsBz27roPrFw7whMk1T8gW8CEft,22725711.275794,2.27
5dFTueRiNarPdY5hsxSjSU5u5N1Uq12Bne6jZfpfF559,GrUxZf7Qcw7vz8grDce5SG7uEKqfG5aNCF6pFVsqT9yz,21278254.010928,2.13
A4E7RTSyzEy1QLyijUAxt2iuzEeYP5TZdcZvMtraJqDc,8Has58bLjXD52LRdTPFZt1g5T6wfvcnjZZ9SxnJHWYZV,20000000,2.00
wHSRPsZNMEvbdKngGuxJvmCBWdgseTpgx9FTzqhJmBJ,EZtb69Q7k6s4Ki3EQnSCtBPWgiZZCPRb4pNmWdvoaukK,18858804.219329,1.89
dy6ZzfgLB5SRKzHnZmUx3rJCACuFRxg5hsDS3XPayZe,GWPziTm2DNrC6Wv9oC2S7g1MCocVhWdt2LUwxgidu3Au,18853998.859108,1.89
