id,__typename,solanaAddress,twitterUserID,telegramUserID
w3C2ZmffB5PFgrrVi23cPj,Address,4B8KaMycbaWRN2thCXzGXds4hJNhvd8fZMNRb5TkVWHN,556002522,6918614831,winner
G6BF6G86cgqC7iRUvtRsiS,Address,EhVsUQqeMJcxHRd3rvRDs8eHzDvPzMZeHpW3dLFskwwK,883609502,6858662819,winner
dxbby65AybPNYaitLvjrGm,Address,MnNwNWKZjhgj8Bu9HCA5xxeQpaUc2m5XgpoULAk2JRZ,784034587223658496,7384822188,winner
gHnbGruXPKqHuLX4ngBdG,Address,DBhWpJiadxuQ7gW7sn7oyXoj8xKzmKL1Ys94vYgsiZW4,1048741267,6816524707,winner
vsT4UjQTTLyMQTtiecVAX4,Address,H5V5NXoBrvhMBoH1RLsHmCKNWgm8XebGCGc6cPPf6aGj,934832988164108289,7799145532,winner
2U8e2QNgYWFQp7Ke9nvL5a,Address,DnJMzQNckp8AR4qDYAjc2mwqmt6JFRFqvSQHTyzhcdPa,1297012345,6801891274,winner
LETGt7Q8yN8NCKbmrBKMnX,Address,DHvNrdtuwi5NKosEFU7nDubeckiiAbfwQeR2Y21vu4Gt,980980332,7934254877,winner
rzh2vsyJaFF3PE5fH3tLZV,Address,3SAK5AGCRz75zXEi7iyB9o3DKfSLH6on72XsLnbCkenW,1884731671,7353271476,winner
ngd3WCjWxPoaLjYGPm8TcY,Address,7kyXiphKG38EnGY1aSZmPkwPhvXVPB3wGFiMvoNTDXJM,2819457552,6824934367,winner
6N9ks6H7HGbnz559DCaKQc,Address,6h26Ys1fP6doDqoKTjtVdwUSCACtKiqSkBUEahVTsLu5,2831747714,7684354041,winner
Cm8q7TWG9GaUTtqJhBMMDc,Address,6AxoyhHbBK75QeLE6AS44DdpYq4VJWLFe2fsCEkeZrKB,2202393138,7132936898,
pvcFwvCQrhR2N9Q5mjqbkY,Address,EVwq4oMgKCuT3ZwMcsXASEyZripjypMmdwndyFEvUvRG,1062818683,7303673084,
EtrQbPbKzAspyu2CiRTwB8,Address,9nNm5D7GYozjWkCuCjeRkGSz3sbSiF1FwdtQMnAFxYpU,440245335,7091836192,
QJ5PxJNujTJDs4anhfbYmD,Address,Brncdrkm4ykXZJBwKfhZh7cJ442sHb6VcwawGy1JSUnN,330883836,7736195832,
MWdG93r9mPhS6rz2DcibXj,Address,zJu4HXHXi9Cpmco2t8fMJHDnoUxZ2ssC2kXdnWW5qK6,97178648,7330338542,
pqo8pWkQQyGFScH6Ap6UyN,Address,A7JbxXvF3tAYKpTw3kYei16Z9TTByyrmSzaF4ssEGRco,488885029,8101031468,
82vN2fKYMQppiSkiZsbP5f,Address,EpG7rd1pX6tzmtLNLWvbeTjEaZ34oUPmrgmS9qe3ZxGi,952150135,6789684573,
PPBZoVbwjQWSCdD3xn7nfA,Address,Ea4ywZ8PotDTBymXHufW1cJrajwbXAiTQVjsbz2ePzw9,1093318254,8134946986,
96dBaWBR3FMYbbsAoVCHJR,Address,8p4R3wWr1X6V9V4NQtLbdzd7wNvgEcUGpjiUSzvt1GAm,2437109434,7608283040,
rrkw9XmLUyH7oRXxk299jW,Address,8q9byX7MjtnP94RWGAFrpVn4xkkZ6AWCP7q1qWTVt1DF,2895441789,6240242743,
sGjeE4tsfhFJwo6TUr5zJe,Address,84LJTnmVDJjmc6yJnmsd3ixRFHmrikyLacsraTjFTESm,781550599351504896,7877778137,
JVWRzTftrGezo6VUP2sG79,Address,FCwUonPsnc7M2CEHApfP5oiQETD9V9ZYiRcGabm6asbJ,515831728,7289651160,
PzLXqqJoRUCzZi86pAQyHB,Address,AoZ4p4zLk9vU66qnu4iGzpEgv88Q7YJqVwx8s2QHs21H,499814699,7626311343,
M6vjxvwfcDY2kiW5mZSaYa,Address,H5RXtckwftG7snFxFP5x75tqNJBKKpjkaYNdqBF2YabE,1416097860,6364293098,
yvZe4C4LcDP6dEMZ3u3qUK,Address,8VUFRmJ1JrQ6cbr2LSf45k47pqSZutTNsqc5Lt6byPRm,225823346,7570717489,
uQfnmBQgceBAoafBGsBcR5,Address,7tFNcSBL9rVj8yxfRgyM2GeGBH1Cnb958L1XduXqoLDU,1884948996143386624,7094146684,
jS9JN7oCsaECv6WYogqH7M,Address,GbXUtnGTs5LKzEuDHqrqAaKzEdvhajawqEEXANLp3zPb,407157798,7573053297,
cJ6NsDkMNVbFhp3wpHaCmg,Address,ABCezYWXgeXDNRNAxNEKMa2mdGCcVxt2jDCGzpgD9xrn,1849248468122165248,7471428023,
pMERmypepCToqYNLCobVYJ,Address,58FXWbc1QhLRKwnpVANo6g5BcbJg9iVbmjU5WjSi1THM,1881550424,6635846660,
HqsnpEfdho9f5pzdEQ8EJH,Address,CWY7UwDL59QXUtqfhMciFZVmZrJvtxCZSbWodnnhtDvy,2458415025,7375180208,
SBs3hwb7MjvMPfE7jkT3Lj,Address,4FXiYHc2NSv81LHd9KvU85qMT9SS2WSMxN2cgmtVmiTJ,2800193695,7875459458,
9hc6EpXoDeYvtaJtWRS5Km,Address,9RR3ctUgqmTYfDhvAUbMJzigewjY2ZJQPSkgnBB64XeA,2194173233,7584976407,
t5EAUzdy8XtU8Cmyfh5y6R,Address,4HBtRw8KKRjiv26ESChaG2qmcNsBRvzRZ8Lmc5U8yYff,1715943810,8100722825,
9CkWtZ99Bhb4mT4UbQMsNM,Address,GWUKH9bsJVJp1mR72FjjqFjgWD1f3thoc5zbHNujHyCb,267610863,665182655,
2TNscHfvJBatHXAFkrCJFW,Address,4nwtYRpWP1WneHHAgy8ubpTDANuN24sd1xjTN3yiwsCF,1651780596258197504,8058971289,
BfEU5tzwfWPFm6wbtYk2mH,Address,HWUwiBZn7KUjq8cdqc1SzZkWDpUsj8nafnw9H2M5wkAS,3015164703,7807890483,
SvbWwWmMdzgnF8MuNea2sK,Address,DM1gfxWfvFdTvmBNLmKfVEpTqiXHpSoa2TJppDJn7Lvk,2547896828,7733123517,
P4wvoZCq7G2UJbdS8Uu6PW,Address,8uhDq61pXw46Z2g2A7kHnMAq3FNS6c2uEMNdCctVxMkf,912965850,6348467403,
wSDDPdihcjgcsJQgq5oUCT,Address,6cmfKbae5yBip7ktk7UeLkuaRAz3JfSGjtfLtdcJw96h,2596461969,6489798490,
pDcfWNS2hnvRkP2gDJXcnH,Address,NjVWfVshyXUbXSbTPagLBTTaiHgprkesYoqG1u7NzF3,1068916807,8148823732,
r36DvLoGKisme4AxhQbunB,Address,8XjVRU2Z4UDe6L59YwJBQVnAed8ESWNJGTuVNrgKNn3w,874938769,6728791026,
8uj7b4JpRPNKLy5nexFiL,Address,7wYhL3CeZrnkVsgrgrMccu2HVakTMB8ASumezWJi8Do8,299423107,7926758069,
XxYHjyq2zDrRPiwh6DFJg8,Address,J8CWe4uvAKbcPw7ynZ7hZBj3J68ZG3cn82eCehaBPDsb,87081737,7177134701,
hkcXcXUgXhBRjGmnkNCmGD,Address,BMwrztn5ouXQdSLZ1rVgsTcxfxVTVvHQuzddTd6mDetD,310474679,7807821572,
yyFjsV3krWKTDWp6dfjiff,Address,BKYdshnGyBv8GesXSfaaZDcaaXZ1dr61b45v34jTrAiy,315991141,7297745340,
mA2vZS5ViekawJXEACxBwH,Address,8TKsNpukzD4PpuJ8UEBNeY3QEsXX8LUMx7ZMEnP1Bb6g,2611188618,5994846799,
